*bruski	browbeat
kornblovi	to trumpet, blow on a horn
kornbranĉo	antler
kornbruo	sound of trumpet, blow of a horn
kornbruto	horned animal
korneca	horny
kornemuzo	bagpipe
korneo	cornea
korneto	cornet
korni	to honk
kornico	cornice
korno	hooter, horn, klaxon
korno[1]	horn
korno[2]	hooter, horn, klaxon
kornobati	to buck
kornobranĉaro	antlers
kornuso	cornel, dogberry
kornvala	Cornish
kornvipuro	cerastes, horned viper
koro	heart
koro ĉe koro	heart to heart
koroda	corrosive
korodado	corrosion
korodema	corrosive
korodi	corrode
korodimuna	stainless
korodiĝi	to corrode
korodo	corrosion
koroido	choroid
korolario	corollary
korolo	corolla
koronaria	coronary
koronilo	axseed
korono	corona
korpa	bodily, body, body-, corporal, corporeal, of the body, physical / bodily, body, corporal, corporeal, of the body, physical
korpa sufero	physical suffering
korpaĉo	bulk, hulk
korpe	physically
korpeca	bodily, physical, corporal
korpego	bulk, hulk
korperdi	to lose heart
korpeto	corpuscle
korphararo	body hair
korpigi	embody
korpiĝi	to impersonate
korpiĝo	incarnation
korplingvo	body language
korpo	body
korpo de makroodifino	macro expansion
korpodamaĝo	bodily harm, body damage
korpodifekto	bodily harm, body damage
korpodoro	body smell / body odour
korpoforto	body strength, vigor
korpogardisto	bodyguard, lifeguard
korpomasa indico	body mass index, BMI
korpoparto	body part
korporacia	corporate
korporaciestro	guildmaster
korporacio	corporation, trade-union / company, corporation, trade union
korporalo	corporal
korposana	able-bodied
korprema	distressing, oppressing
korpremita	dejected, depressed
korpremiteco	dejection, depression, oppression
korpremo	heartache
korpstato	physique
korpulenta	fat, stout
korpusklo	corpuscle
korsaro	corsair, privateer
korsaĵo	bodice, body, corsage
korseto	corset
korsika	Corsican
korsikanino	Corsican woman
korsikano	Corsican
korsikia	Corsican
korsikianino	Corsican woman
korsikiano	Corsican
korso	broadway, mall
kortaderio	pampas grass
kortbirdara	of poultry
kortbirdaro	poultry
kortbirdejo	poultry yard
kortbirdo	fowl (domestic)
kortega spritulo	court jester
korteganaro	royal household
korteganino	lady-in-waiting
kortegano	courtier
kortego	court (royal)
kortegulo	courtier
korthundo	mastiff
kortiko	cortex
kortikosurrena	adrenocortical
kortikotropa	adrenocorticotrophic, adrenocorticotropic
kortizono	cortisone
korto	court, yard, courtyard
kortobirdo	domestic fowl, farm bird
kortuma	judicial
kortumo	court of law
kortumoficisto	court official
kortuŝa	affecting, moving, touching
kortuŝanta	affecting, touching, pathetic
kortuŝeco	emotion
kortuŝi	affect, move / to affect, agitate, move, touch (emotionally)
kortuŝita	seized with emotion
kortuŝite	seized with emotion, moved
kortuŝiĝi	to be moved (emotionally)
kortuŝo	emotion
korundo	corundum
korupta	corrupt
koruptado	corruption, graft, subornation
koruptanto	choir, chorus
korupteco	corruption
korupti	bribe
koruptilo	bribe
korupto	bribery, corruption, graft
koruso	choir / cortex
korvestiblo	auricle, auricula
korvetkapitano	lieutenant commander
korveto	corvette
korvo	crow
korĝojiga	heartwarming
korĝojige	heartwarmingly
korŝira	heart-rending / harrowing
korŝiranta	heartrending
korŝireco	poignancy
korŝiri	to break heart
kosa	Xhosa
kosa lingvo	Xhosa, Xhosa language
kosekanto	cosecant
kosino	Xhosa woman
kosinuso	cosine
kosma	cosmic
kosma spaco	outer space
kosmetikaĵo	cosmetics
kosmetiko	cosmetics
kosmo	cosmos / space
kosmodromo	space center
kosmogonio	cosmogony
kosmografiisto	cosmographer
kosmografio	cosmography
kosmografo	cosmographer
kosmologio	cosmology
kosmonavigado	astrogation
kosmonavigi	to astrogate
kosmonavigisto	astrogator
kosmonaŭtiko	cosmonaut
kosmonaŭto	cosmonaut
kosmopolita	cosmopolite
kosmopoliteco	cosmopolitanism
kosmopolitismo	cosmopolitanism
kosmopolito	cosmopolite, cosmopolitan
kosmopramo	space shuttle
kosmoso	cosmos
kosmosondilo	space probe
kosmostacio	space station
kosmoveturilo	space ship
kosmoŝipo	spaceship
koso	Xhosa
kosovano	Kosovar
kost-evitiga	cost-cutting
kosta	dear, expensive
kosta \[costly\]	dear
kostarika	Costa Rican
kostarikano	Costa Rican
koste de	at the cost of, at the price of
kostega	priceless, invaluable
kostelportebla	affordable
kostevitiga	cost-cutting
kosti	to cost
kosto	charge, price, cost
kosto je alklako	cost per click
kosto po alklako	cost per click
kostoj	charge, cost, expense
kostpago	charge
kostredukta	cost-cutting
kostumo	costume, outfit, suit
kota	dirty, muddy, filthy, mucky, muddy
kotangento	cotangent
kotanimulo	low-minded person
kotejo	mudhole
koterio	coterie, exclusive circle, set / clique
koti	to defecate, shit
kotigi	to dirty
kotigi la akvon de	to muddy the waters of
kotiledono	cotyledon
kotiljono	cotillion
kotisto	dustman
kotizi	to contribute, subscribe
kotizo	dues, subscription
kotiztabelo	subscription table, dues table
kotkovrita	muddy, mud-stained
kotleto	chop, cutlet
kotligita	dear to the heart
koto	mud
kotona	cotton
kotonarbo	cotton plant, cotton
kotoneastro	cotoneaster
kotonkampo	cotton field
kotono	cotton (raw)
kotonrubando	tape
kotonujo	cotton plant, cotton
kotoo	koto
kotorno	buskin, cothurnus
kotujo	mud-hole, muddy place
koturno	quail (bird)
kotŝirmilo	fender, mudguard
kovalento	covalency
kovarianco	covariance
kovaĵo	brood
kovejo	birth place, nesting place, nest
koverto	envelope
kovi	incubate, sit / to brood (over), hatch (up), incubate, watch over
kovilo	incubator
kovitaro	covey
koviĝi	to incubate
kovotempo	breeding season
kovra	protective
kovraĵo	cover
kovri	cover
kovri iun per kisoj	to cover someone in kisses
kovri parte	to overlay
kovrilego	tilt (an awning)
kovrilo	cover, hood, lid
kovrita	covered
kovriĝi	to be covered
kovro	cover
kovropapero	wrapping-paper / wrapping paper
kovrotuko	veil
kovĉelo	brood cell
kozakestro	ataman
koĉenilo	cochineal
koĉero	coachman
koĉo	coccus
koŝera	kosher
koŝia	Cauchy
koŝia vico	Cauchy sequence, fundamental sequence
koŝmaro	nightmare
koŝo	thimble
kp.	komparu
krabli	to sidle (like a crab) / sidle (like crab)
krabo	crab
krabro	hornet
krada	grid
krada bloko	grid block
kradaĵo	grate, grating, railing, trellis
kradi	to fence in, fence off, rail in, rail off
kradita	plaid
kradlinio	grid line
krado	grate, grid, grill
kradrostado	barbecue
kradrosti	barbecue
kradrostilo	barbecue
krajono	pencil
krajonpintigilo	pencil sharpener
kraka cimbalo	crash cymbal
krakado	crunch, scrunch, grating noise, grinding noise, scratch, scratching, scraping, grating
krakeno	cracker
kraketa	brittle, crisp, crunchy
kraketado	grating
kraketi	crackle
kraketigi	to munch, crunch, crack
kraki	crack
krakmaĉa	brittle
krakmaĉi	to munch, crunch, crack
krako	crack (sound)
kraksoni	to crunch, scrunch, grate, grind
kraktiko	butcher bird
krambo	sea kale
kramfo	cramp
krampfo	cramp
krampi	to clamp, staple
krampilo	stapler
krampo	clamp, brace, bracket, parenthesis, staple / bracket, parentheses, parenthesis, clamp, brace, staple
krampoj	brackets, parantheses / brackets, parentheses
krampomalvolvo	bracket expansion, brace expansion
kranio	skull
kranko	crank
krankŝaftingo	bottom bracket (shell)
krano	faucet, tap
krasulo	crassula, mossy stonecrop
kratago	hawthorn
kratero	crater
kravali	to riot
kravato	tie, necktie / necktie, tie
kravattenilo	tie clip, tie pin
kraĉaĵo	saliva, spittle
kraĉeti	to drivel (to slaver)
kraĉi	to expectorate, spit
kraĉo	spittle
kraĉospiri	to wheeze
kraĉotusi	to clear one’s throat, ahem, wheeze
kraĉujo	cuspidor, spittoon
kraŝi	to crash (computer)
kraŝo	crash (computer)
kraŝo de operaciumo	system crash
krea	creative
krea komunaĵo	creative commons
kreado	creation
kreado de bildeto	clip creation
kreaĵo	creature, creation
kredado	belief, believing
kredanto	believer
kredartikolo	article of faith
kredas ke ne	don’t think so
kredato	creation date
kredebla	believable, credible, probable, plausible
kredeble	probably
kredebleco	probability
kredema	credulous
kredemo	credulity
kredenci	to believe
kredenco	credence-table
kredi	to account, accredit, believe, deem
kredi al	to believe in
kredi je	to believe in
kredi pras	(kredi pri) to believe in
kredi pri	to believe in
krediga	convincing, persuasive
kredige	convincingly
kredigi	to pretend, induce to believe
kredinda	plausible
kredinde	credibly, reliably
kredindeco	credibility, believability
kredite	on credit
krediti	to arrange a credit to, credit to, enter on the credit side
kreditigi	to accredit
kreditkarto	credit card
kreditletero	letter of credit
kredito	credit
kreditoro	account payable, creditor
kredkonfeso	creed
kredo	belief
kredo je	belief in
kredu-ne-kredu	believe it or not
kreema	creative
kreemo	creativeness, creativity
krei	create
krei branĉon	to branch
krei krommarĝenon	to indent
kreilo	builder
kreintismano	creationist
kreintismo	creationism
kreinto	creator
kreismo	creationism
kreitaĵo	creation, creature
kreito	creature
kreiva	creative
kreiĝi	to be created, come into being
krekso	corn-crake
krema	cream
kremaciejo	crematory
kremacii	to cremate
kremacio	cremation
krematorio	crematory
kremaĵo	(beauty, cold) cream
kremkolora	cream, crème
kremkruĉo	creamer
kremo	cream
kremondo	creation of the world
krenela	crenate, crenellated, notched, scalloped, toothed
kreneli	to crenellate
krenelo	crenel, crenellation
kreneloj	battlements
kreno	horse-radish, horseradish
krensaŭso	horseradish (sauce)
kreo	creation
kreodato	creation date
kreola	Creole
kreola lingvo	Creole (language)
kreola linvo	Creole language
kreoliĝi	to become a Creole
kreozoto	creosote
krepido	hawksbeard
krepiti	to crackle, crepitate
krepo	crepe
kreppapero	crepe paper
krepuska	dim
krepuski	to dawn, become daytime
krepuskiĝi	to dusk has fallen
krepusko	dawn, dusk, twilight
krescento	crescent
kreska	rising, ascending
kreska diftongo	rising diphthong
kreska ordigo	ascending sort
kreska ordo	ascending order
kreskado	growth
kreskanta	increasing
kreskanta luno	waxing moon
kreskaĵado	vegetation
kreskaĵbarilo	hedge
kreskaĵo	plant
kreski	grow
kreski per ŝlimo	to silt up
kreskigi	to cultivate, grow, make grow, raise, advance, increase
kreskiĝi	to accrue, increase, grow
kresko	growth
kresko per ŝlimo	accretion
kreso	cress
krespo	crepe, pancake
kresteto	wale
kresto	mountain ridge / (cock’s) comb, (mountain) ridge, crest
krestomatio	chrestomathy / anthology
kresĉendo	crescendo
kreta	chalk
kretano	Cretan
kreteca	chalky
kreteno	cretin
kreto	chalk
kretobreto	chalk tray
kretono	cretonne
kretskribi	to chalk
krevaĵo	burst, crack, flaw
krevi	to burst
krevigi	to burst
krevinta	cracked
kreviĝo	blow-out
krevmaizo	popcorn
krevo	burst, crack
kreŝcendi	to swell
kria signo	exclamation point
kriado	shouting, clamor
kriaĉi	to scream terribly
kribri	sift
kribrilo	sieve
krie	screamingly
kriega	vociferous
kriegado	howling, shouting
kriegi	to bawl, roar, scream, shout, shriek, yell
kriego	scream
kriegulino	termagant
krieti	to squall
krieto	squeal
krifo	claw, talon
krii	cry out, scream, shout / to call (out), cry (out), scream, shout
kriketo	cricket (sport)
krima	criminal
krimbruliganto	arsonist
krimbruligi	to commit arson
krimbruligisto	arsonist
krimbruligo	arson
krimea	Crimean
krimea tataro	Crimean Tatar
krimeco	criminality, iniquity
krimego	atrocity, outrage
krimeto	misdemeanor
krimi	to commit a crime
kriminala	criminal
kriminala kodo	penal law
kriminala leĝo	criminal law
kriminale	criminally
kriminaleco	criminality
kriminalisto	criminal scientist
kriminologio	criminal science
kriminologo	criminal scientist
kriminto	offender, perpetrator
krimo	crime
krimologio	criminal science
krimologo	criminal scientist, criminologist
krimosciencisto	criminal scientist, criminologist
krimoscienco	criminal science
krimpago	blood-money
krimromano	crime novel, detective novel, murder mystery
krimscienco	criminal science
krimulo	criminal
kringo	ring-shaped roll, biscuit
krinolino	crinoline
krio	cry, shout
kriogeniko	cryogenics
kripla	crippled, infirm
kriplaĵo	deformity, impairment, infirmity
kripli	to disable
kripliga	disabling
kripligi	to cripple, handicap
kripligo	maiming, mutilation
kripliĝi	to be crippled, become handicapped
kriplulo	cripple
kripta	cryptic
kripta haketaĵo	encryption hash
kriptaĵo	cryptogram
kriptaĵoscienco	cryptology
kriptigado	encryption
kriptigi	to encrypt
kripto	crypt, underground cell, vault
kriptogamo	cryptogam
kriptografio	cryptography
kriptogramo	cryptogram
kriptonimo	alias, pseudonym
kriptono	kriptono / krypton
kriptorkidio	cryptorchidia
krisigno	exclamation mark, exclamation point, bang
krisolo	crucible
krispa	crimped, crinkled, wavy / frizzy
krispa potamogeto	curly-leaf pondweed
krispaĵo	crinkle, kink
krispigi	to crimp, wave, curl
krispiĝi	to become crinkled
krispo	frill, ruffle, frilled collar
kristala	crystal
kristala globo	crystal ball
kristala mezembriantemo	common ice plant, crystalline ice plant
kristaligi	to crystallize
kristaliĝi	to crystallize
kristalo	crystal
kristalografia	crystallographic
kristalografio	crystallography
kristalomancio	crystallomancy, scrying
kristana	Christian
kristana erao	Christian Era
kristanaro	Christiandom
kristaneco	Christianity
kristanigi	to Christianize
kristanismo	Christianity
kristaniĝi	to become a Christian
kristano	Christian
kristarbo	Christmas tree
kristismo	Christianity
kristnaska	Christmas, of Christmas, Christmas-time
kristnaska arbeto	Christmas tree
kristnaska piceo	Christmas tree
kristnaska tago	Christmas Day
kristnaska vespero	Christmas Eve
kristnaskarbo	Christmas tree, Christmas-tree
kristnaskdono	Christmas box
kristnaski	to spend Christmas
kristnaskokanto	carol
kristologio	Christology
krita	critical
krita risurco	critical resource
krita sekcio	critical section
krita vojo	critical path
kriterio	criterion, rule, touchstone, measure
kriterioj	criteria
kriterioj por akceptado	acceptance criteria
kriticismo	criticism
kritika	critical
kritikado	flak
kritikanto	judge
kritikaĉi	to cavil, carp
kritike	critically
kritikema	critical
kritikeme	critically
kritiki	criticize / criticise
kritikinda	worth criticizing / worth criticising
kritikismo	criticism
kritikisto	critic
kritiko	criticism
kriulo	Guinea-Bissau Creole
kriza	critical
krizalido	chrysalis, pupa
krizantemo	chrysanthemum
krize	critically, desperately
krizi	to be in critical condition
krizo	crisis, depression, emergency
krizofriso	goldfish
krizokalo	pinchbeck
krizolito	chrysolite, olivine, peridot
krizosplenio	golden saxifrage
krizotorĉo	flare
kriĉi	to screech
kriĉo	screech
kroata	Croatian
kroatino	Croat (woman), Croatian (woman)
kroato	Croat
krokedo	croquette
kroketo	croquet
krokizi	to outline sketch
krokizo	design, outline, sketch, storyboard, plan / outline sketch
krokodili	crocodile / to speak one’s national language among Esperantists / speak a language other than E
krokodilklemo	alligator clip
krokodilo	crocodile
krokosmio	montbretia
krokuso	crocus
krom	apart from, besides, except, except for
krom se	unless
krom tio	besides, in addition, moreover
krom tio ke	except for the fact that
krom tioj	(krom tio) besides, in addition, moreover
krom tiojn	(krom tio) besides, in addition, moreover
krom tion	(krom tio) besides, in addition, moreover
kroma	accidental, additional
kroma aparato	add-on device
kroma ekrano	additional display
kroma intervalo	minor interval
kroma krado	minor grid
kroma ordo	secondary order
kroma ŝlosilo	spare key
kromakcento	secondary accent, secondary stress
kromaltarejo	aisle, side-chapel
kromartikuloj	Xenarthra
kromata	chromatic
kromateco	chromaticity
kromatogena	colorgenic
kromatografio	chromatography
kromaĵa	chrome
kromaĵo	extra, something else, tidbit, aside, piece of trivia, plug-in (software)
kromaĵoj	extras
krombaloto	by-election
kromcelo	hidden agenda
kromdiagonalo	diagonal, off-diagonal, superdiagonal, subdiagonal, off-diagonal
kromdiagonalo suba	subdiagonal
kromdiagonalo supra	superdiagonal
kromdomo	outbuilding, outhouse
krome	besides, in addition, moreover
kromefiki	to cause side effects
kromefiko	side effect
kromgusto	additional flavor
kromi	to chrome(-plate)
kromindekso	secondary index
kromintenco	hidden agenda
kromio	chromium
kromizi	to chromium-plate
kromkarto	plug-in card
kromklapo	tab
kromleciono	additional lesson
krommarĝeni	to indent
krommarĝeno	indent, indent, indention
krommemoro	external memory, backing storage
kromnomado	aliasing
kromnomo	byname, nickname, sobriquet / alias (person), nickname, byname, sobriquet
kromnomo de konto	account alias
kromnumero	extension (telephone)
kromo	chromium
kromofotografio	color photography
kromolitografio	chromolithography
kromosfero	chromosphere
kromosomo	chromosome
krompagi	to pay extra
krompago	additional payment
kromperiodo	overtime
kromplato	plug-in card
kromposteno	moonlight job
kromprocesoro	coprocessor, co-processor
kromprocezilo	co-processor
kromprodukto	waste product / by-product
kromprogramo	add-in, extension (software), plug-in (software)
kromrado	spare time
kromreĝimo	minor mode
kromrolanto	extra
kromrolulo	extra
kromsigna klavo	accent key
kromsignifo	side meaning, secondary meaning, additional meaning
kromsigno	accent mark, accidental, diacritical mark
kromstudi	to minor in (a field of study)
kromsubdisko	extended partition
kromteksto	subsidiaries
kromtono	overtone
kromtubo	spare tire, spare tyre
kromvagono	trailer
kromvirino	concubine
kromviroino	paramour
kromĉaro	sidecar
kromŝlosilo	secondary key
kronado	coronation
kroneto	corolla
kroni	to crown
kronika	chronic, lingering
kronikisto	chronicler, historian
kroniko	annals, chronicle
krono	crown (money)
kronologia	chronological
kronologio	chronology, timeline
kronometri	to time
kronometria	chronometric
kronometrio	chronometry
kronometristo	timekeeper
kronometro	chronometer / timer
kropo	craw, crop, goiter, gullet, pouch
krotalo	rattlesnake
krotofago	ani
krozadi	to cross
krozado	cruise
krozanto	crusier
krozi	to browse (internet), cruise
krozilo	browser
krozisto	crusier
krozŝipo	cruiser
kroĉado	catenation
kroĉfermo	concatenation closure
kroĉi	to concatenate, hook / hook on
kroĉilo	hook
kroĉiĝi al	to board, clutch
kroĉiĝo	adhesion
kroĉo	catenation, concatenation
kruca	crucial, cruciform
kruca haĉo	cross hatch
kruca militiro	crusade
kruca ombrostreko	cross hatch
krucarmo	cross-arm
krucbekulo	crossbill
krucforme	across
kruci	to cross
krucifikso	crucifix
krucigi	to cross
krucigo	crossing
krucisto	crusader
krucita	crossed, crossover
krucita konekta kablo	crossover cable
kruciĝe	across
kruciĝi	to cross
kruciĝo	intersection
kruckavaliro	Teutonic knight
kruckontrolo	cross-check, cross-checking
krucmarki	to check off, mark with a cross, put a cross against, tick off
krucmasto	driver, mizenmast
krucmilitiro	crusade
krucmilitisto	crusader
krucmilito	crusade
kruco	cross; Crux
krucosigni	to make the sign of the cross
krucplakaĵo	plywood
krucreferenca	cross-reference
krucreferenca tabelo	cross-reference table
krucreferenco	cross-reference
krucumi	to crucify
krucumo	crucifixion
krucvojo	way of the cress
krucvortenigma	crossword
krucvortenigmo	crossword puzzle
kruda	crude, raw, rough
kruda datumo	raw data
kruda petrolo	crude oil
kruda skizo	adumbration, shadow
krudaj datumoj	raw data
krudaj materialoj	raw materials
krudaĵo	commodity
krude	in the rough
krudeco	crudity
krudfero	pig iron
krudlanŝtofa	baize
krudlanŝtofo	baize
krudmaterialo	raw material
krudulaĉa	loutish, yobbish
krudulaĉo	lout
krudulo	boor, churl
kruela	cruel
kruelaĵo	atrocity, act of cruelty
kruele	cruelly
krueleco	cruelty
kruelega	horrible
kruelegaĵo	atrocity
kruelege	atrociously, ferociously
kruelegeco	ferocity
kruelego	atrocity, ferocity
krueloeco	cruelty
kruelulo	brute
krupiero	croupier
krupo	croup
kruraĵo	leg meat
krurbraceleto	anklet
kruro	leg, paw
kruroprotezo	artificial leg
krurrompo	fracture of the leg
krurungo	spur
krurvindaĵoj	leggings, gaiters
krurvindo	puttee
krurzono	garter
krusta	crispy
krustaco	crustacean
krusto	crust, deposit, hard outer covering, rind, scab, casing, scale
krustulo	crustacean
krustuloj	crustacean
kruta	abrupt, steep
krutaĵo	precipice / cliff
krute	steeply
kruteco	steepness
krutegaĵo	escarpment, precipice
krutigi	to steepen, make steep
krutiĝi	to steepen, become steep
kruzejro	cruzeiro
kruzero	cruzeiro
kruĉego	ewer
kruĉeto	ampoule
kruĉo	jug, pitcher
kruĉoforma	ascidiform
ksantato	xanthate
ksantelasmo	xanthelasma
ksanteno	xanthin
ksantino	xanthine
ksantofila	xanthophyllic, xanthophyllous
ksantofilo	xanthophyll
ksantomo	xanthoma
ksantomozo	xanthomatosis
ksantosomo	yautia
ksenio	xenia
ksenobiologio	exobiology, xenobiology
ksenofobia	xenophobic
ksenofobio	xenophobia, hostility to foreigners
ksenofobiulo	xenophobe
ksenofobo	xenophobe
ksenogamia	xenogamous
ksenogamio	xenogamy
ksenogeneza	xenogeneic
ksenogenezo	xenogenesis
ksenogrefto	xenograft
ksenologio	xenology
ksenonlampo	xenon lamp
ksenono	xenon
ksera	xerographic
kserazo	xerasia
ksero	xerography
kserodermo	xeroderma
kserofila	xerophilous
kserofito	xerophilous plant, xerophyte
kseroftalmio	xerophthalmia
kserografia	xerographic
kserografio	xerography
kserokopio	xerographic copy
kseroradiografio	xeroradiography
kseroradiogramo	xeroradiogram
ksifio	swordfish
ksifisterno	xiphisternum
ksifoida	xiphoid
ksifoido	xiphoid
ksifosura	xiphosuran
ksilano	xylan
ksilemo	xylem
ksileno	xylene
ksilofaga	xylophagous
ksilofonisto	xylophonist
ksilofono	xylophone
ksilografaĵo	woodcut
ksilografi	to xylograph
ksilografia	xylographic, xylographical
ksilografiaĵo	wood-cut, xylograph
ksilografiisto	wood-engraver, xylographer
ksilografio	xylography
ksilografo	wood-engraver, xylographer
ksilotoma	xylotomous
ksilozo	xylose
ksio	xi
ksisto	xyst, xystus
ksosa	Xhosa
ktp	and so on
ktp.	kaj tiel plu (etc., and so on)
kuba	Cuban; cubic, cubical
kuba splajno	cubic spline
kubano	Cuban
kube	in the Cuban way
kubika metro	cubic meter
kubo	cube
kubutlibereco	elbow-room / elbow room
kubuto	elbow
kubutumi	to nudge
kubĵeto	roll, throw of the dice
kudrado	needlework
kudraĵo	needlework
kudrero	stitch
kudri	sew
kudrilarkorbo	sewing-basket, work-basket / sewing basket, work basket
kudrilaro	sewing-things / sewing things
kudrilarujo	sewing-box / sewing box
kudrilkuseno	pincushion
kudrilo	needle
kudristino	needlewoman, seamstress / dressmaker, seamstress
kudrofadeno	sewing-thread / sewing thread
kudrokurso	sewing-class / sewing class
kudromaŝino	sewing-machine / sewing machine
kufo	bonnet, cap / nurse's cap
kuglaĵo	(canon)ball, shot
kuglego	shell, bomb
kugletarpafilo	shotgun
kugletaĵo	grapeshot
kugleto	pellet
kuglingo	case, casing
kuglo	bullet
kuglomontrilo	trackball, track ball
kuirado	cookery
kuirarta	culinary
kuirarto	cooking, cuisine
kuiraĵo	cooking
kuirbanano	plantain
kuireja	kitchen, of a kitchen
kuirejo	kitchen
kuirejstablo	dresser
kuirforno	cooker, stove
kuiri	to cook
kuirilaro	kitchen utensils
kuirilvendisto	hardwareman
kuiristino	cook, female cook
kuiristo	cook, male cook
kuirita	cooked
kuiriĝi	to cook
kuirlibro	cookbook
kuiropreta	ready to cook
kuirpoto	cooking pot
kuja	Gikuyu, Kikuyu
kukaburo	kookaburra
kukaĵo	pastry
kukbakejo	confectionery
kukbakisto	confectioner
kukejo	confectioner's, confectioner's shop / bakery, confectioner’s, confectioner’s shop, pastry shop
kuketo	cookie, little cake, cupcake
kuketujo	biscuit tin
kuklando	land of milk and honey
kuko	cake
kukolhorloĝo	cuckoo clock
kukolo	cuckoo
kukumeto	gherkin
kukumo	cucumber
kukurbacoj	curcurbits
kukurbeto	zucchini
kukurbo	gourd, pumpkin, squash
kulako	kulak
kulasbloko	breech block
kulaso	breech of gun
kulasriglilo	breech bolt
kuleranaso	shoveler
kulerego	spoon, large spoon / scoop, large spoon
kulerkavo	bowl of a spoon
kulero	spoon
kulerĉerpi	to dish up
kulinara	culinary
kulinario	art of cooking
kulio	coolie
kuliso	flat (theater), slip, wing
kulisoŝovisto	stage-hand
kulmina	climactic, ultimate
kulmini	to climax, culminate
kulmino	acme
kulmo	blade, stalk
kulo	gnat
kulombo	coulomb
kuloto	short pants, shorts
kulpa	guilty
kulpatesto	admission of guilt
kulpeco	culpability
kulpi	to be guilty
kulpiga	accusatory
kulpiganto	accuser
kulpigi	accuse, blame / to accuse, (place) blame, arraign, incriminate, indict, impeach
kulpigi pras	(kulpigi pri) to accuse of, charge with, impeach of, indict for, tax with
kulpigi pri	to accuse of, charge with, impeach of, indict for, tax with
kulpigito	accused, defendant
kulpigo	accusation, charge, complaint, indictment
kulpiko	gnat-bite, midge-bite
kulpiĝi	to be guilty
kulpo	blame, fault, guilt / fault, offense, guilt, failing
kulposente	guiltily, with feelings of guilt
kulposento	guilt feeling
kulpovaro	guiltware
kulpsentoj	(feelings of) guilt, guilty feelings
kulpulo	culprit
kultejo	place of worship
kulti	to idolize, venerate, worship
kultivado	cultivation, tillage
kultivebla	arable
kultivejo	plantation
kultivi	to cultivate
kultivisto	grower, cultivator
kultivo	cultivation, growing
kulto	cult (system of religious worship), homage, devotion
kultura	cultural
kulturado	cultivation
kulturdomo	cultural centre
kulture	culturally
kulturejo	plantation
kulturfilmo	documentary
kulturhomo	cultured person, educated person
kulturi	to cultivate, grow
kulturita	cultivated
kulturiĝi	to become cultivated
kulturkampo	farmland
kulturo	culture
kulturologio	humanities
kulvualo	mosquito net
kulŝirmilo	mosquito net
kumano	Cuman
kuminfromaĝo	cumin-seed cheese
kumino	cumin
kumiso	koumiss
kumkvato	kumquat
kumulado	cumulation
kumuli	to cumulate
kumuluso	cumulus, woolpack
kun	with
kun antaŭmedito	premeditated
kun escepto de	with the exception of
kun la fluado	with the current
kun la spiro retenita	holding one’s breath
kun la tempopaso	over the course of time
kun matematika precizeco	with mathematical precision
kun pasado de la tempo	with the passage of time
kun peno	with difficulty
kun respekto	with respect
kun rezervo pras	(kun rezervo pri) to bar, barring, except for, subject to, without prejudice
kun rezervo pri	to bar, barring, except for, subject to, without prejudice
kun senpacienco	impatiently
kun sopiro	longingly
kun tempo	with time
kun versikontrolo	versioned
kun ŝvitanta frunto	with a sweating forehead
kun-	co-, fellow
kuna	joint, combined, together
kunagi	to cooperate
kunalie	with others
kunaparteni	to belong together, go together
kunaĵo	union (of sets)
kunaŭtoro	co-author
kunbatalanto	fellow fighter
kunbati	to beat together
kunbekiĝi	to peck, squabble, wrangle
kuncelebri	to concelebrate
kuncentrigi	to center, centralize, concentrate
kuncentrigo	centralization
kuncivitano	fellow citizen
kundancantino	dance partner
kundancanto	dance partner
kundecido	co-decision
kundividantaro	swarm (torrent)
kundividanto	sharer
kundividanto de dosieroj	file sharer
kundividantoj	peers (torrent)
kune	jointly, together
kune kun	along with, together with
kuneco	togetherness
kunefrapi	to clap together (hands)
kunegali	to tally
kunekzistado	co-existence
kunekzisti	to coexist
kunenzimo	coenzyme
kunestado	coexistence, time together, being together
kunesti	to be with / be together
kunesto	meeting
kunfanda	merge
kunfanda kampo	merge field
kunfanda operacio	merge operation
kunfandaĵo	alloy
kunfandema lingvo	inflective language
kunfandi	to collate, merge, fuse (together), consolidate
kunfandita	merged
kunfandita ĉelo	merged cell
kunfandiĝi	to fuse, coalesce
kunfandiĝo	consolidation, fusion, merger
kunfando	fusion, merging
kunfaranto	accessory
kunfinanci	to co-finance
kunflua	confluent
kunflue	downstream
kunfluiĝo	confluence
kunforĝi	to weld
kunfrapaĝo	clashing, fighting
kunfrapo	impact
kunfrato	confrère
kunfripono	accomplice
kunfunkciebla	interoperable
kunfunkcieblo	interoperability
kunfunkcipovo	interoperability
kunglui	to agglutinate, paste together
kungluiĝemo	adhesiveness
kungrefti	to graft
kunhava proporcio	share ratio
kunhava uzantokonto	shared user account
kunhava uzantoprofilo	shared user profile
kunhavaj	shared
kunhavaj borderoj	shared borders
kunhavata	shared
kunhavata datumbazo	shared database
kunhavata kajero	shared workbook
kunhavata komputilo	shared computer
kunhavataj	shared
kunhavataj dosierujaj permesoj	shared folder permissions
kunhavi	to have (with oneself), share
kunhaviga	sharing
kunhaviga reĝimo	sharing mode
kunhaviganto	sharer
kunhaviganto de dosieroj	file sharer
kunhavigi	to share (folder)
kunhavigilo	sharing program, sharing tool
kunhavigita	shared (file, folder)
kunhavigo	sharing (of a folder, resource)
kunhavigo de scio	knowledge sharing
